Arranjo,Tipo de Teste,Média Tempo (μs),Desvio Padrão Tempo (μs),Média Comparações,Desvio Padrão Comparações,Média Memória (bytes),Desvio Padrão Memória (bytes)
100000,Pior Cenário,96,17,16,0,27683499,1931
1000000,Pior Cenário,214,64,19,0,72275285,1931
200000,Pior Cenário,185,77,17,0,33320960,5793
300000,Pior Cenário,165,97,18,0,38671701,3862
400000,Pior Cenário,169,76,18,0,43380736,156401
500000,Pior Cenário,188,64,18,0,49149269,187295
600000,Pior Cenário,213,130,19,0,53314901,187295
700000,Pior Cenário,211,73,19,0,59056128,202742
800000,Pior Cenário,393,228,19,0,63210837,187295
900000,Pior Cenário,177,79,19,0,68904277,117783
100000,100 Números Aleatórios,227,64,16,1,27339407,18897
1000000,100 Números Aleatórios,264,101,19,1,71658988,12160
200000,100 Números Aleatórios,250,89,17,1,33064223,58390
300000,100 Números Aleatórios,211,95,17,1,38284534,6067
400000,100 Números Aleatórios,212,76,18,1,43369267,22118
500000,100 Números Aleatórios,241,93,18,2,48292577,48845
600000,100 Números Aleatórios,272,86,18,2,53253489,50223
700000,100 Números Aleatórios,210,49,19,1,58211082,52303
800000,100 Números Aleatórios,219,76,19,2,63455560,46830
900000,100 Números Aleatórios,243,63,19,2,68091290,151587
