Arranjo,Tipo de Teste,Média Tempo (μs),Desvio Pradrão Tempo (μs),Média Comparações,Desvio Padrão Comparações,Média Memória (bytes),Desvio Padrão Memória (bytes)
100000,Pior Cenário,25667,9124,100000,0,46484139,1931
1000000,Pior Cenário,173967,10931,1000000,0,258792107,1931
200000,Pior Cenário,45585,11847,200000,0,70332416,0
300000,Pior Cenário,54661,612,300000,0,93945856,0
400000,Pior Cenário,79232,12107,400000,0,117563392,0
500000,Pior Cenário,100247,3970,500000,0,141075797,48272
600000,Pior Cenário,103159,1554,600000,0,164675584,0
700000,Pior Cenário,117088,2140,700000,0,188365483,3862
800000,Pior Cenário,144118,10455,800000,0,211902464,0
900000,Pior Cenário,162715,9374,900000,0,235454464,0
100000,100 Números Aleatórios,15427,8808,51831,30401,46327972,26605
1000000,100 Números Aleatórios,141619,79586,481807,285465,258532762,11178
200000,100 Números Aleatórios,52125,34493,105205,62154,70116311,73576
300000,100 Números Aleatórios,70967,43101,145099,90875,93814948,10263
400000,100 Números Aleatórios,54070,37386,182647,114585,117451899,26154
500000,100 Números Aleatórios,48192,26248,231464,137861,141028065,26297
600000,100 Números Aleatórios,55655,29970,292533,181671,164627743,47304
700000,100 Números Aleatórios,56598,33074,303463,200060,188029297,6133
800000,100 Números Aleatórios,71102,36879,396274,222997,211577856,4029
900000,100 Números Aleatórios,80323,41975,437782,259508,235153039,6133
